No.,Time,Source,Destination,Protocol,Length,Info
1,0.011133,d3f6:3873:3683:7d9d:d0f1:bf43:632c:e7b2,7b1f:2e40:566a:c887:9c9e:b167:b145:18be,UDP,314,143 > 36717 Len=314
2,0.06767,57d:2408:9550:b360:a219:1616:1464:1416,4d2c:80ff:b9c2:79b4:f743:2dc2:e5a9:19a,UDP,416,33 > 31952 Len=416
3,0.00937,38e8:f24e:8467:928a:fd6f:89fc:accc:dbbf,ee8e:23e7:cdda:8e96:b6ef:c47a:2520:dbc8,UDP,213,575 > 43031 Len=213
4,0.071602,2880:b685:6603:c915:2d42:51b6:6c60:7adb,c20e:ca5b:fe30:9920:bbf4:54e8:9c36:f539,UDP,429,604 > 48231 Len=429
5,0.080943,df05:3274:317f:5848:176f:703a:cee6:bfe2,219a:4988:c7e5:d948:b43d:a952:cf68:2a88,UDP,281,715 > 57696 Len=281
6,0.034025,d653:b62c:76a3:691f:1af9:aab4:10d0:4e13,1c51:956c:2169:87b3:c391:f056:1cee:e1f9,UDP,372,105 > 36078 Len=372
7,0.037993,437d:1a10:b731:1f02:2ec1:817d:e751:467a,ebe4:9f3b:13e3:6c2c:863b:8fae:c977:53c5,UDP,335,827 > 32847 Len=335
8,0.072973,939d:e366:47c:1615:dc5d:ad9c:67c9:d847,3196:b558:926a:e73b:e2fd:684e:c15c:b043,UDP,240,566 > 49213 Len=240
9,0.08294,b6b8:2280:69dc:a716:c54:ace3:4a95:3b85,1b52:ad06:949e:1f79:49a1:a2a1:3170:45f7,UDP,298,722 > 34558 Len=298
10,0.004582,ff6c:18b8:689f:e09c:8c6b:82a0:6672:898b,a5b1:5c24:43c4:8a57:d886:ddc1:e95b:e8f7,UDP,348,1009 > 35229 Len=348
11,0.085532,fa21:e8b2:b385:d51:935c:3dac:31f9:86d1,5a7d:9638:9924:9685:ae6a:fa0f:c7df:d287,UDP,342,465 > 53909 Len=342
12,0.016265,5f3a:8c5f:7c1b:86ad:90f2:8cad:d04b:2d10,629e:26a3:3b67:6622:584d:24f:6364:8c2d,UDP,336,719 > 34679 Len=336
13,0.060913,d9a7:3c4d:80b9:f2bb:4241:80ff:351b:9991,e202:1f9b:852c:d27f:102:8fc0:dfc7:b322,UDP,325,168 > 60294 Len=325
14,0.037946,f029:ed05:4146:7730:6885:6f57:a741:ad2c,c18e:54f2:5554:f25e:c7d8:3ce4:bbaa:6b23,UDP,366,864 > 33665 Len=366
15,0.022905,207d:65f5:7ab1:ae91:ba9a:ea6e:9bf7:457c,c939:c2d:5940:b97c:1277:c402:93d4:d726,UDP,405,275 > 34337 Len=405
16,0.021098,5be:8c37:7273:810:2767:b782:2d9d:8920,2eae:414e:d82c:e1ae:b379:ae46:8827:9dc3,UDP,455,406 > 60071 Len=455
17,0.014287,6a5e:ad25:8611:9b5d:dd70:edd8:2b46:318e,8082:6285:198d:a646:7fe:b4b3:ce30:ed1e,UDP,487,552 > 47219 Len=487
